
val_loss_list loss_list categorical_accuracy val_categorical_accuracy
1.2386506795883179 1.4740219116210938 0.4278266131877899 0.5114149451255798
0.8943282961845398 1.0356944799423218 0.5613986253738403 0.6148871779441833
0.8775500655174255 0.9037176966667175 0.610791027545929 0.6391059160232544
0.7622300982475281 0.8254795670509338 0.6414604783058167 0.6736544966697693
0.7934399843215942 0.752579927444458 0.6675835251808167 0.6819878220558167
0.6630598902702332 0.6982290744781494 0.6891167759895325 0.717968761920929
0.6428483128547668 0.6609468460083008 0.703808605670929 0.7148003578186035
0.6845532655715942 0.6302107572555542 0.7166666388511658 0.7200955152511597
0.6281000971794128 0.6183985471725464 0.7216091752052307 0.7356336712837219
0.6659144759178162 0.5894225239753723 0.7342719435691833 0.7405815720558167
0.620775043964386 0.5661153793334961 0.7476996779441833 0.7394097447395325
0.5123959183692932 0.5398136973381042 0.7592664957046509 0.7789496779441833
0.47535353899002075 0.5138174295425415 0.7700141072273254 0.7899739742279053
0.4971863925457001 0.4945053160190582 0.7770290970802307 0.78515625
0.4807947278022766 0.47889530658721924 0.7844617962837219 0.7977430820465088
0.4861278831958771 0.4681319296360016 0.790684700012207 0.7998697757720947
0.5000548958778381 0.4547007381916046 0.795811653137207 0.7949652671813965
0.49856385588645935 0.44565871357917786 0.8024793863296509 0.795703113079071
0.46935856342315674 0.44591981172561646 0.8027072548866272 0.8075087070465088
0.4728861153125763 0.427592009305954 0.8144748210906982 0.8121961951255798
0.5015324354171753 0.4229666292667389 0.8174262046813965 0.8033854365348816
0.4250672161579132 0.41595888137817383 0.8208550214767456 0.8246961832046509
0.4338115155696869 0.41597655415534973 0.823155403137207 0.830164909362793
0.4482418894767761 0.39190876483917236 0.8326497673988342 0.8332899212837219
0.42103293538093567 0.38854536414146423 0.8368381261825562 0.8382812738418579
0.4379734992980957 0.3866640329360962 0.8371365070343018 0.8368489742279053
0.3882361650466919 0.367776483297348 0.8470486402511597 0.8490451574325562
0.4754527509212494 0.36320528388023376 0.8488444089889526 0.8348090052604675
0.4046116769313812 0.36470314860343933 0.8481716513633728 0.8521701097488403
0.42540648579597473 0.34987011551856995 0.8542751669883728 0.841883659362793
0.3989890515804291 0.34922999143600464 0.8551486730575562 0.8488715291023254
0.4218904376029968 0.3421389162540436 0.8578450679779053 0.8450086712837219
0.4527873992919922 0.34135136008262634 0.8584201335906982 0.8355468511581421
0.3962004780769348 0.333114892244339 0.8626084923744202 0.8519531488418579
0.4190029501914978 0.326587438583374 0.865321159362793 0.8460503220558167
0.4385569989681244 0.3304256796836853 0.8642795085906982 0.844531238079071
0.43869078159332275 0.32596027851104736 0.8651150465011597 0.8464409708976746
0.4637077748775482 0.3287903666496277 0.8651692867279053 0.8464409708976746
0.40832260251045227 0.3192863166332245 0.8691568970680237 0.8454427123069763
